S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
196,RBCL,"13,300.00",-99.00,-0.74,"13,350.00","13,350.00","13,250.00",275.00,"13,399.00"
197,RFPL,386.40,-4.60,-1.18,391.00,403.00,378.00,"36,096.00",391.00
198,RHGCL,314.90,-4.10,-1.29,315.00,318.00,312.00,"4,896.00",319.00
199,RHPL,273.70,-3.30,-1.19,271.70,277.10,271.70,"5,783.00",277.00
200,RIDI,175.40,-2.60,-1.46,178.00,180.00,175.20,"14,171.00",178.00
201,RLFL,351.60,1.60,0.46,356.00,356.00,351.00,"1,810.00",350.00
202,RMF1,7.67,0.00,0.00,7.52,7.67,7.52,800.00,7.67
203,RMF2,8.50,0.00,0.00,8.50,8.50,8.50,100.00,8.50
204,RNLI,434.00,-3.60,-0.82,433.00,439.50,433.00,"13,439.00",437.60
205,RSDC,615.00,22.50,3.80,599.00,615.00,595.10,"16,393.00",592.50
206,RURU,650.20,-9.80,-1.48,669.90,669.90,650.20,195.00,660.00
207,SABSL,764.00,26.10,3.54,752.60,764.00,738.60,"3,055.00",737.90
208,SADBL,290.00,-1.00,-0.34,291.50,294.00,290.00,"6,299.00",291.00
209,SAGF,8.90,0.09,1.02,8.98,8.98,8.81,"2,200.00",8.81
210,SAHAS,510.30,-3.80,-0.74,506.00,510.30,506.00,"3,200.00",514.10
211,SALICO,673.00,8.00,1.20,670.00,673.00,669.00,"4,001.00",665.00
212,SAMAJ,"1,999.00",34.00,1.73,"1,925.70","1,999.00","1,890.10",60.00,"1,965.00"
213,SANIMA,234.00,-1.00,-0.43,235.00,237.50,233.00,"6,813.00",235.00
214,SAPDBL,290.00,-2.00,-0.68,297.50,297.50,290.00,"9,216.00",292.00
215,SARBTM,861.40,-34.10,-3.81,888.00,888.00,855.00,"131,655.00",895.50
216,SBCF,7.65,-0.15,-1.92,7.80,7.80,7.65,"1,600.00",7.80
217,SBI,280.00,-3.00,-1.06,285.00,285.00,279.50,"3,768.00",283.00
218,SBID83,"1,037.00",0.00,0.00,"1,037.00","1,037.00","1,037.00",25.00,"1,037.00"
